departamento,habilitados,municipio,votantes,votos_no_marcados,votos_nulos,votacion
Boyaca,1846,Tutaza,1077,21,88,camara
Santander,8394,Bolivar,3986,162,313,camara
Putumayo,23751,Valle Del Guamuez (la Hormiga),10272,315,638,camara
Huila,7008,Agrado,3698,109,182,camara
Choco,80687,Quibdo,41529,1915,5034,camara
Putumayo,11983,San Miguel (la Dorada),4467,165,406,camara
Caldas,16379,Samana,8586,463,748,camara
Bolivar,13084,TIquisio (pto. Rico),7649,208,751,camara
Meta,9485,Fuente De Oro,4493,168,420,camara
Antioquia,4669,Alejandria,2295,146,107,camara
Cundinamarca,7709,Pasca,3644,105,232,camara
Valle,19486,Ansermanuevo,7735,288,519,camara
Santander,4023,San Jose De Miranda,2339,54,128,camara
Antioquia,16131,Concordia,4796,336,428,camara
Risaralda,10542,Apia,5150,182,450,camara
Boyaca,3057,Gachantiva,1605,66,104,camara
Nariño,14292,Guachucal,7586,343,490,camara
Sucre,9965,Buenavista,5151,212,318,camara
Cundinamarca,17024,Silvania,8221,274,576,camara
Guaviare,4132,Miraflores,1425,55,90,camara
Consulados,4482,Japon,130,1,3,camara
Norte De San,6969,Cachira,3580,107,269,camara
Antioquia,92258,Apartado,34653,1632,3977,camara
Tolima,28079,Melgar,13761,425,1204,camara
Consulados,4757,Emiratos Arabes Unidos,451,7,36,camara
Tolima,405150,Ibague,207053,5419,23412,camara
La Guajira,16839,Albania,9343,372,926,camara
Cundinamarca,2964,Tibirita,1269,34,71,camara
Cundinamarca,2054,Beltran,927,11,30,camara
Antioquia,17641,Dabeiba,6349,272,466,camara
Boyaca,3614,Macanal,1651,48,142,camara
Santander,1853,Cepita,1104,69,54,camara
Atlantico,18504,Ponedera,11428,241,595,camara
Boyaca,1686,La Victoria,793,43,53,camara
Cundinamarca,82764,Girardot,41616,975,4218,camara
Nariño,3416,La Llanada,2053,57,129,camara
Antioquia,12132,Valdivia,3419,302,297,camara
Bolivar,14008,Santa Rosa,8225,268,729,camara
Caldas,44418,Chinchina,22213,765,2489,camara
Caldas,38656,Riosucio,20984,876,1764,camara
Magdalena,8469,San Zenon,5274,60,270,camara
Magdalena,10367,Tenerife,7444,106,325,camara
Guainia,184,La Guadalupe,127,2,0,camara
Risaralda,60931,Santa Rosa De Cabal,31950,1353,3800,camara
Cundinamarca,2638,Nariño,1423,28,78,camara
Magdalena,7624,Salamina,4926,142,371,camara
Santander,2237,San Joaquin,1233,43,63,camara
Cundinamarca,218928,Soacha,113241,3620,16283,camara
Antioquia,328235,Bello,143404,3829,15421,camara
Choco,8003,Lloro,4007,75,466,camara
Antioquia,85238,Turbo,31837,1758,3192,camara
Antioquia,9313,Santo Domingo,4099,254,343,camara
Antioquia,5735,Valparaiso,2496,88,139,camara
Consulados,10851,Peru,923,6,86,camara
Cauca,233647,Popayan,117486,3476,13606,camara
Nariño,6459,Magui (payan),2698,73,233,camara
Guainia,368,Pana Pana (campo Alegre),274,0,9,camara
Tolima,38848,Chaparral,15793,738,1315,camara
Atlantico,1069129,Barranquilla,595030,19248,61817,camara
Cundinamarca,2657,Jerusalen,1034,22,58,camara
Antioquia,5180,Caramanta,1793,90,134,camara
Boyaca,3047,Guican,1295,40,107,camara
Cordoba,26570,Puerto Libertador,14534,770,879,camara
Santander,24276,Socorro,12531,317,861,camara
Norte De San,6188,Cucutilla,3782,176,274,camara
Magdalena,84057,Cienaga,46695,1177,3756,camara
Cesar,7547,Manaure Balcon Del Cesar (mana,4602,43,239,camara
Santander,5292,Guaca,2815,64,185,camara
Consulados,15111,Inglaterra,2360,46,168,camara
Vichada,7284,La Primavera,4089,37,126,camara
Antioquia,6567,Briceño,3413,104,151,camara
Magdalena,11027,Concordia,7634,57,373,camara
Boyaca,7134,Toca,3283,62,289,camara
Antioquia,18390,Nechi,7277,490,592,camara
Santander,24922,Barbosa,11850,369,1313,camara
Sucre,32043,Sampues,22489,1460,1346,camara
Boyaca,17634,Moniquira,8666,403,756,camara
Boyaca,2680,Susacon,1510,48,159,camara
Caldas,57543,La Dorada,27626,723,2791,camara
Casanare,5976,San Luis De Palenque,3568,94,229,camara
Santander,24974,San Vicente De Chucuri,10209,397,938,camara
Nariño,34828,Tuquerres,19006,585,1701,camara
Tolima,33225,Libano,14215,594,1438,camara
Huila,20598,Palermo,11049,299,699,camara
Antioquia,14771,San Roque,5825,353,440,camara
Antioquia,11612,Cisneros,4588,174,372,camara
Boyaca,4923,Tasco,2021,44,126,camara
Quindio,22777,Circasia,12375,358,1289,camara
La Guajira,14571,Hatonuevo,7045,213,532,camara
Nariño,8341,Yacuanquer,5171,226,364,camara
Consulados,12777,Francia,2091,36,140,camara
Antioquia,33501,Necocli,13888,1016,1252,camara
Tolima,17404,Flandes,8715,371,717,camara
Cundinamarca,42778,Cajica,24582,465,3978,camara
Cundinamarca,1970,Villagomez,1039,25,79,camara
Quindio,59575,Calarca,30445,885,3638,camara
Santander,11803,El Playon,5223,272,474,camara
Magdalena,28848,Pivijay,18331,418,1292,camara
Huila,12350,Suaza,5404,314,487,camara
Magdalena,8475,Cerro De San Antonio,5552,53,244,camara
Santander,3731,Molagavita,1938,70,163,camara
Cundinamarca,13158,Puerto Salgar,5439,201,658,camara
Nariño,7348,Leiva,3929,146,283,camara
Choco,10065,Alto Baudo (pie De Pato),5579,26,161,camara
Consulados,3629,Marruecos,16,0,0,camara
Antioquia,36902,El Bagre,13373,689,1245,camara
Atlantico,33818,Puerto Colombia,20885,343,1159,camara
Cundinamarca,17154,Sopo,10409,196,1714,camara
Cundinamarca,9741,Agua De Dios,5402,96,312,camara
Cauca,7094,San Sebastian,3630,135,155,camara
Cundinamarca,4081,Zipacon,2220,66,221,camara
Caqueta,32844,San Vicente Del Caguan,10223,519,792,camara
Choco,6179,Carmen Del Darien,2766,77,214,camara
Valle,35618,Dagua,16277,509,1157,camara
Huila,94172,Pitalito,44428,1585,3383,camara
Santander,7475,Zapatoca,2980,111,277,camara
Risaralda,20168,Quinchia,11291,572,943,camara
Cordoba,32745,Ayapel,16302,753,1228,camara
Santander,170054,Barrancabermeja,83370,2722,9572,camara
Magdalena,18404,Sitionuevo,11456,439,760,camara
Caldas,15510,Salamina,7683,330,618,camara
Choco,4205,Certegui,2521,30,262,camara
Antioquia,8520,Gomez Plata,3359,258,290,camara
Nariño,8481,Linares,5242,90,287,camara
Boyaca,6349,Siachoque,3316,71,305,camara
Cundinamarca,4039,Quebradanegra,2539,55,104,camara
Huila,4922,Paicol,2456,74,156,camara
Sucre,10082,Palmito,6132,630,425,camara
Santander,23287,Puerto Wilches,11658,538,1139,camara
Consulados,3666,Kenia,16,0,0,camara
Santander,1863,Guapota,1041,41,59,camara
Boyaca,3245,Cucaita,1696,44,117,camara
Cauca,17786,Corinto,8313,405,766,camara
Caldas,13009,Viterbo,6355,414,392,senado
Huila,25107,Campoalegre,13579,838,1001,senado
Casanare,4421,Tamara,2499,237,95,senado
Cundinamarca,13557,Cogua,7191,330,930,senado
Consulados,3615,Republica Socialista Devietnam,7,0,0,senado
Bolivar,6855,Altos Del Rosario,3964,324,159,senado
Magdalena,8469,San Zenon,5179,201,95,senado
Amazonas,999,La Chorrera,575,50,22,senado
Casanare,27471,Aguazul,16898,825,1573,senado
Bolivar,20714,San Jacinto,12819,837,509,senado
Antioquia,6156,Heliconia,2635,252,241,senado
Santander,2436,Palmas Del Socorro,1299,70,53,senado
La Guajira,122621,Maicao,56982,5261,3513,senado
Meta,6088,San Juan De Arama,2721,130,204,senado
Meta,11271,Castilla La Nueva,7429,362,751,senado
Caldas,19505,Neira,9400,713,689,senado
Magdalena,6992,Remolino,4844,274,210,senado
Tolima,24004,Ortega,10893,993,698,senado
Antioquia,33661,Yarumal,11729,943,877,senado
Guainia,368,Pana Pana (campo Alegre),257,110,5,senado
Cauca,25344,Timbio,13880,1469,927,senado
Arauca,33469,Tame,15976,1556,832,senado
Antioquia,27122,Segovia,7989,657,560,senado
Cauca,7254,Sotara (paispamba),3732,518,247,senado
Amazonas,61,La Victoria,28,1,1,senado
Antioquia,4829,Caracoli,1949,96,74,senado
La Guajira,4059,La Jagua Del Pilar,2608,98,104,senado
Vichada,7284,La Primavera,3944,530,103,senado
Antioquia,11599,Anori,3013,342,137,senado
Guainia,807,San Felipe,379,223,4,senado
Magdalena,10367,Tenerife,7667,291,184,senado
Choco,8774,Atrato (yuto),4439,221,305,senado
Norte De San,4327,Durania,2606,120,69,senado
Bolivar,6448,Cantagallo,3294,171,159,senado
Tolima,15157,Ataco,7168,624,294,senado
Tolima,10205,Armero (guayabal),4555,238,396,senado
Antioquia,4864,Belmira,2058,146,117,senado
Boyaca,3520,Cerinza,2042,67,111,senado
Antioquia,25945,San Pedro De Uraba,11545,956,489,senado
Choco,8079,Medio Baudo (puerto Meluk),5045,163,132,senado
Caldas,12081,Pacora,6842,565,322,senado
Bolivar,6174,El Peñon,3708,118,204,senado
Valle,14125,Calima (darien),5773,288,362,senado
Santander,5292,Guaca,2781,104,164,senado
Bolivar,13548,Cordoba,8837,329,286,senado
Antioquia,12366,San Rafael,4904,498,309,senado
Vaupes,16157,Mitu,8591,2041,115,senado
La Guajira,7375,El Molino,4487,114,222,senado
Tolima,6767,Dolores,3071,276,129,senado
Cundinamarca,7874,San Bernardo,3581,140,181,senado
Valle,13031,La Cumbre,6100,316,296,senado
Caqueta,11184,La Montañita,4233,307,281,senado
Cordoba,20079,San Carlos,11604,804,503,senado
Consulados,55,Grecia,19,0,0,senado
Norte De San,13614,Puerto Santander,4682,317,357,senado
Sucre,9181,Caimito,6377,307,313,senado
Santander,5460,Puerto Parra,2291,132,168,senado
Santander,2529,Galan,1183,58,64,senado
Valle,26857,La Union,13415,902,1093,senado
Nariño,5798,Arboleda (berruecos),3795,192,170,senado
Casanare,11316,Monterrey,6374,294,420,senado
Antioquia,4150,Giraldo,2309,192,124,senado
Cauca,19963,Paez (belalcazar),9474,1064,596,senado
Caqueta,6209,Valparaiso,2609,209,109,senado
Cundinamarca,6946,Lenguazaque,3421,145,304,senado
Santander,16486,Velez,7938,541,553,senado
Norte De San,2673,Mutiscua,1681,115,85,senado
Santander,2251,Macaravita,1021,60,47,senado
Magdalena,9710,Algarrobo,5733,588,220,senado
Tolima,5678,Piedras,3272,161,154,senado
Nariño,14700,Ricaurte,5432,734,369,senado
Bolivar,14358,San Estanislao,9289,490,401,senado
Cordoba,14734,Los Cordobas,9456,545,330,senado
Atlantico,14033,Manati,8527,267,262,senado
La Guajira,14571,Hatonuevo,7537,406,393,senado
Santander,4176,La Paz,1837,136,122,senado
Nariño,11054,El Tablon,7583,321,368,senado
Nariño,7269,Los Andes (sotomayor),4173,186,173,senado
Antioquia,18300,Fredonia,6485,609,379,senado
Cesar,24146,Chimichagua,11764,536,597,senado
Antioquia,14771,San Roque,5908,564,365,senado
Boyaca,3815,Guayata,1730,117,92,senado
Putumayo,11983,San Miguel (la Dorada),4451,782,263,senado
Santander,105133,Piedecuesta,59679,1816,3935,senado
Atlantico,7822,Usiacuri,5473,202,152,senado
Sucre,32043,Sampues,22639,932,848,senado
Santander,3780,Onzaga,1762,177,112,senado
Bolivar,5787,Arenal,2999,106,80,senado
Bolivar,10879,Clemencia,6122,373,390,senado
Cundinamarca,8706,La Palma,3468,509,145,senado
Choco,10065,Alto Baudo (pie De Pato),5175,100,147,senado
Meta,1332,San Juanito,710,37,33,senado
Cauca,22653,Silvia,9421,1605,673,senado
Casanare,789,La Salina,491,39,9,senado
Valle,37866,Sevilla,16282,998,1119,senado
Sucre,20750,Ovejas,14626,591,567,senado
Bolivar,54835,El Carmen De Bolivar,30996,2191,1427,senado
Caqueta,12004,El Paujil,4070,384,187,senado
Antioquia,4669,Alejandria,2199,156,82,senado
Amazonas,1391,Tarapaca,627,185,18,senado
Nariño,16173,Sandona,10886,610,511,senado
Cundinamarca,4081,Zipacon,2271,126,150,senado
Boyaca,92022,Sogamoso,50195,1548,4012,senado
Caldas,15069,Palestina,7339,579,393,senado
Cesar,21604,Chiriguana,11172,536,473,senado
Cundinamarca,2657,Jerusalen,1000,59,38,senado
Cordoba,53772,Planeta Rica,29696,1539,1288,senado
Nariño,5715,Ospina,3491,132,132,senado
Boyaca,2558,La Uvita,1123,57,44,senado
Antioquia,33501,Necocli,14097,1819,844,senado
Huila,52995,Garzon,25909,1683,1632,senado
Valle,40115,Pradera,19570,1135,1309,senado
Consulados,3873,Cuba,76,0,0,senado
Bolivar,16795,Pinillos,9866,460,431,senado
Choco,8003,Lloro,4062,422,346,senado
Antioquia,6170,Montebello,2361,304,124,senado
Cordoba,26963,San Bernardo Del Viento,13941,903,628,senado
Cundinamarca,10195,Suesca,5701,411,807,senado
Sucre,19238,San Benito Abad,11625,494,384,senado
Cundinamarca,3702,Sutatausa,1815,115,172,senado
Cesar,14597,San Diego,8643,430,376,senado
Cordoba,13659,Purisima,8552,458,409,senado
Antioquia,16499,San Vicente,7336,674,507,senado
Boyaca,3057,Gachantiva,1597,95,69,senado
Valle,16777,Ginebra,8751,342,442,senado
Tolima,6886,Ambalema,3195,223,241,senado
Consulados,119,Dinamarca,46,0,0,senado
Boyaca,3888,Zetaquira,2018,127,67,senado
Antioquia,12044,Puerto Nare-La Magdalena,5943,392,267,senado
Boyaca,6349,Siachoque,3192,280,149,senado
Choco,8234,Bagado,4198,366,146,senado
Santander,12896,Puente Nacional,5712,259,295,senado
Nariño,22004,La Union,12961,675,665,senado
Boyaca,8171,Santa Rosa De Viterbo,4607,239,256,senado
Putumayo,16780,Villagarzon,8702,893,475,senado
Cundinamarca,10542,Guasca,5384,314,677,senado
Bolivar,12114,Simiti,6286,542,421,senado
Cundinamarca,4761,Paime,2223,91,70,senado
Consulados,4066,Uruguay,135,0,5,senado
Nariño,5835,Aldana,3257,270,169,senado
Tolima,7957,Prado,3856,225,153,senado
Cesar,22774,El Copey,11700,686,654,senado
Antioquia,12314,Sopetran,6018,393,253,senado
Antioquia,15968,Retiro,9092,494,421,senado
Magdalena,13354,El Reten,8173,602,524,senado
Antioquia,15959,Yolombo,4845,541,310,senado
Bolivar,9873,Cicuco,5534,359,136,senado
Bolivar,10398,Hatillo De Loba,6145,249,230,senado
Bolivar,19908,Mahates,11419,664,459,senado
Magdalena,15484,Santa Ana,9042,670,419,senado
Caldas,328191,Manizales,180757,7520,15490,senado
Cundinamarca,2638,Nariño,1369,122,59,senado
Antioquia,19147,Zaragoza,6267,692,458,senado
Boyaca,7536,Soata,4174,171,230,senado
Boyaca,3265,Coper,1301,142,46,senado
Cauca,16215,Buenos Aires,7038,793,662,senado
Nariño,11389,El Tambo,6831,492,452,senado
Magdalena,334399,Santa Marta,167935,6149,11944,senado
Antioquia,65191,Copacabana,30095,1299,2468,senado
Cordoba,12804,La Apartada (frontera),7159,513,299,senado
Boyaca,5898,Socota,2494,292,140,senado
Cundinamarca,6375,Tena,3036,275,118,senado
Boyaca,5595,Jenesano,2347,176,127,senado
Valle,15169,Restrepo,6256,333,332,senado
Cundinamarca,11387,Yacopi,5365,890,179,senado
Boyaca,5636,Cubara,2153,216,127,senado
Bolivar,3967,Norosi,1995,113,133,senado
Amazonas,457,Puerto Arica,160,37,3,senado
Meta,26986,Puerto Gaitan,14746,1384,1847,senado
Cauca,12717,Guachene,7510,676,805,senado
Nariño,10979,Guaitarilla,6172,360,397,senado
Choco,8608,Acandi,3830,617,230,senado
Boyaca,7450,Tibana,3131,206,206,senado
Cundinamarca,5685,Ubaque,2480,193,166,senado
Nariño,13012,San Lorenzo,8324,584,503,senado
Antioquia,4539,Toledo,1431,263,127,senado
Boyaca,5774,Umbita,2969,148,107,senado
Valle,19486,Ansermanuevo,7754,479,409,senado
Nariño,8481,Linares,5163,201,213,senado
Guainia,312,Cacahual,146,87,0,senado
Boyaca,8727,Ramiriqui,3881,180,200,senado
Boyaca,3747,Mongui,1764,69,117,senado
Santander,5313,Florian,2207,154,159,senado
Magdalena,22621,Guamal,11040,397,398,senado
Valle,11516,Alcala,5610,399,263,senado
Cundinamarca,25908,Tocancipa,15121,601,2365,senado
Norte De San,12165,Toledo,6322,441,347,senado
Antioquia,16809,Don Matias,7239,651,440,senado
Norte De San,4023,Silos,2072,161,154,senado
Huila,20598,Palermo,10829,753,565,senado
Cesar,10918,La Gloria,6315,279,288,senado
Boyaca,1971,Pachavita,1020,103,49,senado
Casanare,2781,Sabanalarga,1632,60,46,senado
La Guajira,21807,Dibulla,11841,668,497,senado
Santander,187167,Floridablanca,105324,2620,6262,senado
Boyaca,2760,Labranzagrande,1752,306,52,senado
Santander,3815,Ocamonte,2223,143,83,senado
Cundinamarca,22493,Villeta,10949,641,609,senado
Santander,41338,San Gil,21552,531,1313,senado
Bolivar,6778,San Cristobal,4362,136,117,senado
Nariño,8341,Yacuanquer,5099,431,205,senado
Santander,24276,Socorro,12259,360,488,senado
Huila,6726,Colombia,3609,228,172,senado
Santander,3252,Pinchote,1817,84,81,senado
Casanare,9389,Trinidad,5574,297,210,senado
Consulados,50,Chipre,17,1,1,senado
Choco,10644,Condoto,5633,308,393,senado
Meta,59776,Acacias,36611,1193,3235,senado
Magdalena,52225,Fundacion,26849,1044,1173,senado
Cauca,21470,Caldono,9964,1814,725,senado
Sucre,20857,Sucre,13304,468,431,senado
Nariño,5186,Gualmatan,3066,144,165,senado
Santander,6451,Barichara,3474,129,187,senado
Cesar,15682,Becerril,8871,453,424,senado
Cundinamarca,24960,Sibate,13192,586,1294,senado
Consulados,3740,Egipto,22,0,0,senado
Valle,6397,Argelia,2707,190,160,senado
Cundinamarca,14732,Choconta,6824,352,598,senado
Boyaca,2528,Campohermoso,1070,140,38,senado
Bolivar,4837,Regidor,2883,95,93,senado
Tolima,11967,Venadillo,5653,333,295,senado
Huila,15317,Aipe,6721,440,356,senado
Cauca,27662,Piendamo,12396,1875,891,senado
Cauca,15207,La Vega,6651,845,309,senado
Cesar,17712,Pueblo Bello,7957,819,380,senado
Nariño,6403,Imues,4017,189,207,senado
Putumayo,9125,Puerto Caicedo,4629,434,195,senado
Tolima,7173,Cunday,3224,184,134,senado
Cundinamarca,6413,Une,3607,129,178,senado
Cauca,18997,Guapi,8468,660,528,senado
Antioquia,6194,Peque,2576,284,106,senado
Caldas,16379,Samana,8569,859,367,senado
Antioquia,8520,Gomez Plata,3449,409,219,senado
Sucre,8151,El Roble,5953,231,200,senado
Cundinamarca,5755,La Peña,2747,445,180,senado
Santander,23287,Puerto Wilches,11541,704,812,senado
Bolivar,7650,El Guamo,4807,211,251,senado
Boyaca,3094,Santa Sofia,1573,75,98,senado
Consulados,3756,Finlandia,62,0,0,senado
Huila,262365,Neiva,140844,5195,10537,senado
Quindio,6104,Pijao,3160,224,201,senado
Consulados,7560,Suiza,1052,6,25,senado
Boyaca,5460,Chitaraque,2379,244,152,senado
Cordoba,312463,Monteria,170736,7507,9965,senado
Boyaca,5684,Turmeque,2298,101,127,senado
Antioquia,36902,El Bagre,13568,1235,882,senado
Cundinamarca,4377,El Peñon,2015,274,51,senado
Cordoba,16455,Canalete,9450,525,359,senado
Boyaca,6298,Chita,2466,298,123,senado
Cauca,17786,Corinto,8448,691,627,senado
Cauca,6700,Padilla,3231,241,433,senado
Santander,5849,Sucre,2443,190,162,senado
Caldas,10621,Risaralda,4699,357,239,senado
Tolima,3715,Alpujarra,1857,74,70,senado
Norte De San,7952,Salazar,4657,206,242,senado
Santander,4350,Guadalupe,1952,110,77,senado
Santander,4190,Guepsa,1878,92,68,senado
La Guajira,8365,Urumita,5405,145,179,senado
Boyaca,2682,Tinjaca,1440,58,58,senado
Atlantico,12416,Candelaria,8468,418,266,senado
Tolima,17404,Flandes,8602,387,578,senado
Norte De San,5070,Labateca,2596,109,102,senado
Magdalena,14502,Nueva Granada,9160,684,353,senado
Bolivar,11126,Morales,6091,398,340,senado
Guainia,1165,Puerto Colombia,541,285,4,senado
Atlantico,19123,Repelon,11077,383,440,senado
Santander,15900,Malaga,7768,265,410,senado
Antioquia,5919,Tarso,2647,313,111,senado
Bolivar,9498,Margarita,5124,160,212,senado
Boyaca,1657,Guacamayas,902,30,18,senado
Nariño,6302,San Bernardo,4532,311,193,senado
Consulados,10851,Peru,955,5,51,senado
Sucre,10082,Palmito,6374,342,281,senado
Cundinamarca,14501,Caqueza,6805,396,526,senado
Boyaca,4275,Boyaca,1595,203,88,senado
Cauca,12619,Almaguer,5172,601,395,senado
Risaralda,5711,Balboa,2610,246,166,senado
Atlantico,12794,Polonuevo,9255,391,345,senado
Cesar,67801,Aguachica,35898,1875,2123,senado
Cundinamarca,22376,Guaduas,10653,703,651,senado
Magdalena,8207,Santa Barbara De Pinto,5041,340,182,senado
Atlantico,20300,Campo De La Cruz,10930,380,380,senado
Antioquia,8409,Entrerrios,3333,170,243,senado
Boyaca,3245,Cucaita,1715,182,102,senado
Cundinamarca,6103,Quipile,2943,222,101,senado
Antioquia,6077,Vigia Del Fuerte,3409,215,229,senado
Antioquia,11612,Cisneros,4532,387,306,senado
Antioquia,12348,Jardin,5794,539,336,senado
Bolivar,39048,Maria La Baja,18769,1346,944,senado
Cauca,4157,Santa Rosa,1757,119,90,senado
Vaupes,1466,Taraira,726,208,10,senado
Bolivar,36016,Mompos,20609,748,737,senado
Bogotá D.C.,5690937,Bogotá D.C.,2777460,60628,160082,senado
Putumayo,4320,Colon,2895,155,58,senado
Cesar,3975,Gonzalez,2359,117,146,senado
Antioquia,17970,San Juan De Uraba,7526,884,421,senado
Cundinamarca,42778,Cajica,24455,651,2574,senado
Cundinamarca,7967,Sesquile,4398,260,522,senado
Caldas,11437,Aranzazu,5371,359,325,senado
Boyaca,4008,Mongua,2199,113,135,senado
Cauca,8730,Rosas,4156,570,316,senado
Santander,3457,Charta,2285,67,97,senado
Boyaca,5770,San Pablo De Borbur,2972,238,179,senado
Magdalena,13281,El Piñon,8089,506,381,senado
Norte De San,6979,Hacari,2735,272,160,senado
Norte De San,17682,Sardinata,7629,544,384,senado
Atlantico,24158,Luruaco,14756,505,603,senado
Nariño,21128,Barbacoas,8058,1090,606,senado
Norte De San,561747,Cucuta,306968,12726,20632,senado
Norte De San,78517,Ocaña,43239,2366,2427,senado
Huila,6595,Villavieja,3711,236,196,senado
Norte De San,4016,Bucarasica,2004,153,124,senado
Antioquia,7224,Sabanalarga,3211,289,165,senado
Choco,5918,Medio Atrato (bete),3077,58,104,senado
Choco,21442,Istmina,10448,1882,725,senado
Nariño,6065,Mallama (piedrancha),3071,312,121,senado
Magdalena,8350,Pijiño Del Carmen,6235,320,235,senado
Norte De San,20658,El Zulia,10867,591,621,senado
Cordoba,36260,San Pelayo,22070,746,762,senado
Boyaca,849,Busbanza,525,28,15,senado
Caqueta,3988,Albania,2068,108,67,senado
Risaralda,31786,La Virginia,14788,1013,1203,senado
Boyaca,6202,Maripi,2624,142,113,senado
Cundinamarca,4694,Cucunuba,2243,128,193,senado
Cundinamarca,3089,Gama,1604,101,65,senado
Cundinamarca,9741,Agua De Dios,5418,215,216,senado
Cundinamarca,5521,Quetame,3227,176,151,senado
Choco,7239,Bojaya (bellavista),4112,828,123,senado
Norte De San,6711,La Playa,3482,269,198,senado
Boyaca,9709,Saboya,4988,378,401,senado
Norte De San,11991,Chinacota,7006,294,351,senado
Magdalena,8475,Cerro De San Antonio,5798,154,143,senado
Nariño,9977,Chachagui,6758,309,381,senado
Nariño,5678,Funes,3289,141,99,senado
Santander,6421,Villanueva,3494,146,145,senado
Cundinamarca,3157,Nimaima,1655,131,95,senado
Consulados,4049,Rusia,107,1,7,senado
Cundinamarca,12985,Tocaima,5435,372,305,senado
Risaralda,15709,Marsella,7144,681,453,senado
Santander,3368,Albania,1393,125,72,senado
Boyaca,5154,Motavita,2974,159,181,senado
Boyaca,3663,El Cocuy,1571,102,110,senado
Cauca,19399,Miranda,10470,613,757,senado
Meta,4889,Cabuyaro,2880,179,154,senado
Boyaca,5834,Firavitoba,2495,126,176,senado
Casanare,1227,Recetor,750,69,36,senado
Sucre,13367,Morroa,9101,408,483,senado
Bolivar,9077,Talaigua Nuevo,6095,168,158,senado
Boyaca,12657,Aquitania (puebloviejo),5891,322,380,senado
Cundinamarca,20388,El Colegio,9649,472,524,senado
Huila,7661,Oporapa,4172,399,237,senado
Norte De San,44915,Pamplona,24393,762,1602,senado
La Guajira,103166,Uribia,38703,5673,3070,senado
Cundinamarca,10594,Viota,4711,363,195,senado
Boyaca,13776,Samaca,7541,738,486,senado
Boyaca,7612,Miraflores,4107,223,156,senado
Consulados,9432,Paises Bajos,505,1,6,senado
Antioquia,11131,Jerico,4984,345,274,senado
Choco,4763,EL Canton Del San Pablo (man.,2540,179,273,senado
Consulados,3863,Nicaragua,73,0,6,senado
Bolivar,11950,Santa Catalina,7524,268,267,senado
Putumayo,26331,Orito,12498,1533,622,senado
Cesar,14386,Astrea,7428,521,348,senado
Valle,50970,Florida,25045,1196,1639,senado
Atlantico,26738,Santo Tomas,16652,565,598,senado
Tolima,3822,Murillo,1487,192,114,senado
Antioquia,15345,Abejorral,4435,444,248,senado
Consulados,4087,Nueva Zelandia,215,0,8,senado
Antioquia,22890,Urrao,7120,788,437,senado
Nariño,16040,El Charco,7053,644,438,senado
Cundinamarca,7579,Chipaque,3510,193,256,senado
Nariño,3416,La Llanada,1961,106,132,senado
Cundinamarca,14798,Tenjo,8102,294,816,senado
Boyaca,7134,Toca,3195,149,209,senado
Boyaca,3614,Macanal,1675,142,94,senado
Nariño,8611,Consaca,5437,266,235,senado
Casanare,24078,Paz De Ariporo (moreno),12938,650,555,senado
Magdalena,16551,San Sebastian De Buenavista,9275,333,251,senado
Meta,15503,Restrepo,7782,188,459,senado
Norte De San,3256,Lourdes,2018,158,91,senado
Caldas,16752,Pensilvania,8572,921,600,senado
Huila,10498,La Argentina (plata Vieja),5542,494,189,senado
Guainia,2309,Barranco Minas,1389,666,22,senado
Antioquia,35381,Andes,16050,1059,818,senado
Santander,9696,Charala,4610,248,234,senado
Choco,4084,Rio Iro,2248,144,95,senado
Cundinamarca,6877,Apulo,3348,219,145,senado
Casanare,5976,San Luis De Palenque,3545,235,171,senado
Cesar,10492,Gamarra,6279,403,226,senado
Nariño,9695,Policarpa,4224,250,205,senado
Nariño,7381,Santa Barbara (iscuande),2836,182,182,senado
Guaviare,9369,El Retorno,5641,563,214,senado
Nariño,13939,Olaya Herrera,5917,333,588,senado
Risaralda,21649,Belen De Umbria,9945,845,616,senado
Antioquia,22490,Arboletes,11266,961,622,senado
Cundinamarca,3820,Tibacuy,1860,112,95,senado
Bolivar,16609,Achi,10007,358,360,senado
Antioquia,5405,Hispania,2294,186,111,senado
Antioquia,6443,Uramita,2716,279,197,senado
Cauca,5563,Sucre,2888,357,159,senado
Caldas,18813,Aguadas,9715,924,661,senado
Caqueta,19106,Cartagena Del Chaira,4638,575,362,senado
Risaralda,20168,Quinchia,11198,972,693,senado
Cauca,13924,Mercaderes,5908,555,370,senado
Valle,8058,El Aguila,3444,252,236,senado
Boyaca,4149,Tota,1767,148,108,senado
Antioquia,12246,San Jeronimo,5563,323,295,senado
Antioquia,13575,Betulia,4617,816,258,senado
Valle,9926,El Dovio,4811,448,285,senado
Cauca,233647,Popayan,116403,5476,9710,senado
Valle,4692,Ulloa,2206,132,150,senado
Antioquia,62364,Caldas,31462,1595,2842,senado
Boyaca,3047,Guican,1277,103,67,senado
Nariño,5708,Contadero,3792,241,135,senado
Nariño,6979,Iles,3707,225,240,senado
Cauca,11108,Totoro,5307,725,273,senado
Boyaca,8927,Combita,4879,317,285,senado
Choco,12897,Tado,7067,517,579,senado
Santander,2166,Encino,1078,88,40,senado
Atlantico,23421,Sabanagrande,14846,378,594,senado
Consulados,41626,Canada,6372,32,222,senado
Cauca,4648,Florencia,2339,243,134,senado
